Id,Assets,Type,Subtype,Rarity,Attack,Defense,Damage,Armour,Range,Hands,Weight
Dagger,,Weapon,Dagger,100,0,0,1d4,0,1,1,
Sword,,Weapon,Sword,100,0,0,1d8,0,1,1,
Axe,,Weapon,Axe,100,0,0,1d8,0,1,1,
Mace,,Weapon,Mace,100,0,0,1d8,0,1,1,
Spear,,Weapon,Spear,100,0,0,1d8,0,1,1,
Staff,,Weapon,Staff,100,0,0,1d6,0,1,1,
Rod,,Weapon,Rod,100,0,0,1d4,0,1,1,
Ranged,,Weapon,Ranged,100,0,0,1d6,0,5,1,
,,,,,,,,,,,
Buckler,,Shield,Buckler,100,0,2,0,0,0,1,
Round,,Shield,Round,100,0,4,0,0,0,1,
Kite,,Shield,Kite,100,0,8,0,0,0,1,
Large,,Shield,Large,100,0,16,0,0,0,1,
,,,,,,,,,,,
Robe,,Armour,Robe,100,0,0,0,1,0,0,
Cloth,,Armour,Cloth,100,0,0,0,1,0,0,
Belt,,Armour,Belt,100,0,0,0,3,0,0,
Leather,,Armour,Leather,100,0,0,0,5,0,0,
LeatherPlus,,Armour,LeatherPlus,100,0,0,0,7,0,0,
Chain,,Armour,Chain,100,0,0,0,9,0,0,
HalfPlate,,Armour,HalfPlate,100,0,0,0,12,0,0,
Plate,,Armour,Plate,100,0,0,0,15,0,0,
,,,,,,,,,,,
Wizard,,Head,Wizard,100,0,0,0,1,0,0,
Band,,Head,Band,100,0,0,0,1,0,0,
Hat,,Head,Hat,100,0,0,0,2,0,0,
Hood,,Head,Hood,100,0,0,0,2,0,0,
Cap,,Head,Cap,100,0,0,0,4,0,0,
Helm,,Head,Helm,100,0,0,0,8,0,0,
Crown,,Head,Crown,100,0,0,0,5,0,0,
Horns,,Head,Horns,100,4,0,0,1,0,0,
,,,,,,,,,,,
Cloak,,Cloak,Cloak,100,0,0,0,1,0,0,
,,,,,,,,,,,
Boots,,Boots,Boots,100,0,0,0,2,0,0,
,,,,,,,,,,,
Gloves,,Gloves,Gloves,100,0,0,0,2,0,0,
